identifier,time,returns,position,captured_returns
PCG,2003-08-26,0.0,-0.121451296,-0.0
PCG,2003-08-27,-0.0018078204076748,-0.5317045,0.0009612262195880184
PCG,2003-08-28,0.006308397659744,-0.89948356,-0.005674299994444522
PCG,2003-09-02,0.0103289279912152,-0.56691635,-0.005855638120557625
PCG,2003-09-03,0.0066239200173544,-0.5829165,-0.0038611922607684796
PCG,2003-09-04,0.0074030861202756,-0.6305014,-0.0046676560854476854
PCG,2003-09-08,-0.003873080880526,-0.7246068,0.0028064607894571613
PCG,2003-09-09,-0.0031448936141449,-0.96431625,0.00303267201316208
PCG,2003-09-10,-0.0058569483546081,-0.96138453,0.005630779569452303
PCG,2003-09-11,-0.002158796502166,-0.96663123,0.0020867601261790603
PCG,2003-09-15,0.0094554238872595,-0.9634131,-0.009109479421680649
